"Номер объекта";"Вид объекта недвижимости";"Кадастровый квартал";"Площадь, кв.м.";"Тип сделки";"Дата сделки";"Дата регистрации/ предложения";"Цена сделки/ предложения, руб.";"Удельная цена сделки/ предложения, руб./кв.м.";"Доля в праве на объект недвижимости";"Назначение/Категория земель";"Разрешенное использование";"Количество надземных этажей";"Подземная этажность";"Ограничения (обременения) вещных прав";"Жилая площадь, кв.м.";"Наименование";"ОКАТО";"Субъект";"Район";"Город";"Населенный пункт";"Улица";"Номер  этажа";"Количество объектов в сделке";"Источник данных";"Организация";"Материал наружных стен";"Год ввода в эксплуатацию";"Год завершения строительства";"Вид жилого помещения в многоквартирном доме";"Тип информации";"Идентификатор записи"
"2432013";"Земельный участок";"65:22:0000010";600;"Договор купли-продажи";"03.2003";"04.2003";1000,00;1,67;;"Земли населенных пунктов";"Для ведения личного подсобного хозяйства";;;"Без обременения";;;"64232551000";"Сахалинская область";"Ногликский";;"Ноглики";"Физкультурная";;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2003";"Не указан";"Не указан";"Сделка";6444421534
"196385020";"Земельный участок";"65:01:0603002";559;"Договор купли-продажи";"02.2011";"02.2011";1200000,00;2146,69;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6444421555
"212544020";"Земельный участок";"65:01:1001004";779;"Договор купли-продажи";"08.2011";"08.2011";1000000,00;1283,70;;"Земли населенных пунктов";"Для объектов жилой застройки";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";"Лиственничное";;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2011";"Не указан";"Не указан";"Сделка";6444421790
"60102493513890";"Земельный участок";"65:24:0000020";900;"Договор купли-продажи";"12.2015";"12.2015";1300000,00;1444,44;"1/2";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"64425000000";"Сахалинская область";"Охинский";"Оха";;"Комарова";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6444421829
"11626020";"Земельный участок";"65:01:0201003";617;"Договор купли-продажи";"10.1999";"02.2000";3000,00;4,86;;"Земли населенных пунктов";"Для ведения гражданами садоводства и огородничества";;;"Без обременения";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"1999";"Не указан";"Не указан";"Сделка";6444422037
"1605013";"Земельный участок";"65:22:0000019";600;"Договор купли-продажи";"06.2009";"06.2009";30000,00;50,00;"1/2";"Земли населенных пунктов";;;;"Без обременения";;;"64232551000";"Сахалинская область";"Ногликский";;"Ноглики";;;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2005";"Не указан";"Не указан";"Сделка";6444422074
"3619003";"Земельный участок";"65:11:0000010";1044;"Договор купли-продажи";"12.2015";"12.2015";5600000,00;5363,98;"1/8";"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"64410000000";"Сахалинская область";"Долинский";"Долинск";;"Почтовая";;8;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6444422079
"186682020";"Земельный участок";"65:01:0102002";401;"Договор купли-продажи";"02.2012";"02.2012";100000,00;249,38;;"Земли населенных пунктов";"Для индивидуальной жилой застройки";;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Сентябрьская";;2;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2009";"Не указан";"Не указан";"Сделка";6444422101
"199506020";"Земельный участок";"65:01:0602003";1176;"Договор купли-продажи";"07.2010";"07.2010";10000000,00;8503,40;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;;;1;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2010";"Не указан";"Не указан";"Сделка";6444422130
"3803020";"Земельный участок";"65:01:0102001";600;"Договор купли-продажи";"12.2010";"12.2013";1980000,00;3300,00;;"Земли населенных пунктов";;;;"Ипотека";;;"64401000000";"Сахалинская область";;"Южно-Сахалинск";;"Рязанская";;3;"Из учетных систем Росреестра";"Росреестр";"Не указан";"2001";"Не указан";"Не указан";"Сделка";6444422159
